2025-03-03|23:27:00|Monthly Salary|ACME Corp|3500.0
2025-03-05|22:37:18|Electric Bill|Utility Co|-120.75
2025-03-10|20:11:28|Laptop Purchase|Best Buy|-899.99
2025-03-15|00:18:39|Freelance Payment|Upwork|750.0
2025-03-18|07:20:05|Lunch Meeting|Chipotle|-18.6
2025-03-22|09:36:49|Book Sale|Amazon|15.99
2025-03-24|08:23:30|Car Insurance|Geico|-210.0
2025-03-24|09:29:10|Groceries|Whole Foods Market|-93.4
2025-03-26|06:52:33|Returned Item Refund|Target|49.99
2025-03-28|14:22:53|Online Course|Coursera|-39.0
2025-04-04|12:41:54|Dog Sitting Payment|Neighbor|60.0
2025-04-09|21:09:06|Coffee|Starbucks|-5.75
2025-04-17|13:29:30|Stock Dividend|Fidelity|122.5
2025-04-22|10:33:04|Tire Replacement|Goodyear|-480.0
2025-04-27|13:47:54|Bonus|ACME Corp|500.0
2025-04-28|00:43:22|10|BoFa|1000.0
2025-04-30|07:55:55|Glock 19|NYPD|-1000.0
2025-05-01|21:49:14|Glock 19|Cartel|-1000.0
